variable,Temperature,sea_pressure,Precipitation,Cloud,Sunshine,Radiation,Wind,WDirection
20200817T1000,23.080801,1003.9,0,100,0,169.98999,1.506986,225
20200817T1100,23.6308,1003.3,0,100,0,333.75,2.1477854,209.74489
20200817T1200,24.1008,1002.9,0,39,35.106384,375.58,2.0806506,219.80557
20200817T1300,24.4508,1002.4,0,22,45.95745,349.77,2.4560866,229.39871
20200817T1400,24.3408,1001.8,0,23,45.31915,287.47,3.3697233,251.56506
20200817T1500,24.0408,1001.3,0,10,53.61702,240.3,3.3697233,251.56506
20200817T1600,24.4408,1001.3,0,17,49.148937,287.47,3.8142676,257.90524
20200817T1700,23.5308,1001.8,0,43,32.553192,113.03,3.8142676,257.90524
20200817T1800,22.3508,1002.1,0,40,32.218086,50.73,4.336678,222.51045
20200817T1900,22.2008,1002.9,0,75,0,0,4.161301,219.80557
20200817T2000,22.4108,1004.1,0.8,83,0,0,3.6234317,233.97263
20200817T2100,22.6508,1005.3,1.7,100,0,0,1.7057923,218.65982
20200817T2200,22.3708,1005.2,1.4,100,0,0,2.1967907,255.96376
20200817T2300,21.830801,1005.2,0.9,100,0,0,2.9424841,264.80557
20200818T0000,21.2608,1004.8,0,100,0,0,2.1312,270
20200818T0100,20.9708,1004.3,0,100,0,0,2.1477854,277.125
20200818T0200,20.7208,1004,0,100,0,0,3.0374272,285.25513
20200818T0300,20.330801,1003.6,0,100,0,0,2.742756,299.0546
20200818T0400,19.8908,1003.8,0,100,0,0,2.5132127,302.00537
20200818T0500,19.6008,1003.9,0,100,0,0,2.4560866,310.60132
20200818T0600,20.4608,1003.6,0,100,0,73.869995,4.066419,238.3925
20200818T0700,22.0108,1003.4,0,85,5.7446804,199.36,5.1725526,235.49149
20200818T0800,22.3808,1003.8,0,92,1.2765956,194.91,5.848678,239.93143
20200818T0900,22.1108,1004.1,0.3,100,0,126.38,4.890454,240.64224
20200818T1000,22.1408,1004,0.4,100,0,126.38,4.4097047,244.98311
20200818T1100,22.0608,1003.6,0.3,100,0,150.41,4.652476,246.37064
20200818T1200,21.9908,1003.5,0,100,0,139.73,4.295571,262.875
20200818T1300,21.6908,1003,0,100,0,147.73999,4.00487,266.1859
20200818T1400,21.5608,1002.5,0,100,0,195.8,3.2408962,260.5377
20200818T1500,22.6908,1001.9,0,100,0,274.12,3.4632,247.38014
20200818T1600,22.7308,1001.9,0,100,0,191.34999,3.3697233,251.56506
20200818T1700,22.3108,1002,0,61,21.063831,131.72,2.1477854,240.25513
20200818T1800,21.6008,1002.2,0,39,32.258865,66.75,3.7862556,230.7106
20200818T1900,21.8008,1002.6,0,45,0,0,1.9394212,195.9454
